epoch rss_kb fds watches staging_files staging_kb
1787857392 25328 11 4175 0 0
1787857422 26768 11 4175 0 0
1787857452 25320 11 4175 0 0
1787857482 25440 11 4175 0 0
1787857512 25340 11 4175 0 0
1787857542 25340 11 4175 0 0
1787857572 25340 11 4175 0 0
1787857602 25372 11 4175 0 0
1787857632 25408 11 4175 0 0
1787857662 25400 11 4175 0 0
1787857692 25376 11 4175 0 0
1787857722 25528 11 4175 0 0
1787857752 25456 11 4175 0 0
1787857782 25348 12 4175 0 0
1787857812 25416 11 4175 0 0
1787857842 25424 11 4175 0 0
1787857872 25432 11 4175 0 0
1787857902 25324 11 4175 0 0
1787857932 25360 11 4175 0 0
1787857962 28004 11 4175 0 0
1787857992 25288 11 4175 0 0
1787858022 25488 11 4175 0 0
1787858052 25276 11 4175 0 0
1787858082 25360 11 4175 0 0
1787858112 25448 11 4175 0 0
1787858142 25372 11 4175 0 0
1787858172 26432 11 4175 0 0
1787858202 25424 11 4175 0 0
1787858232 25424 11 4175 0 0
1787858262 25424 11 4175 0 0
1787858292 25348 11 4175 0 0
1787858322 25456 11 4175 0 0
1787858352 25424 11 4175 0 0
1787858382 25500 11 4175 0 0
1787858412 25524 11 4175 0 0
1787858442 25456 11 4175 0 0
1787858472 25500 11 4175 0 0
1787858502 25516 11 4175 0 0
1787858532 25632 11 4175 0 0
1787858562 28728 12 4175 0 0
1787858592 25380 11 4175 0 0
1787858622 25476 11 4175 0 0
1787858652 29716 12 4175 0 0
1787858682 25556 11 4175 0 0
1787858712 25340 11 4175 0 0
1787858743 25424 11 4175 0 0
1787858773 25392 11 4175 0 0
1787858803 25408 11 4175 0 0
1787858833 25420 11 4175 0 0
1787858863 25532 11 4175 0 0
1787858893 25324 11 4175 0 0
1787858923 25324 11 4175 0 0
1787858953 25324 11 4175 0 0
1787858983 27536 11 4175 0 0
1787859013 25512 11 4175 0 0
1787859043 25492 11 4175 0 0
1787859073 25956 11 4175 0 0
1787859103 25576 11 4175 0 0
1787859133 25524 11 4175 0 0
1787859163 27276 11 4175 0 0
1787859193 25396 11 4175 0 0
1787859223 25528 11 4175 0 0
1787859253 25348 11 4175 0 0
1787859283 25384 11 4175 0 0
1787859313 25544 11 4175 0 0
1787859343 25548 11 4175 0 0
1787859373 25440 11 4175 0 0
1787859403 25368 11 4175 0 0
1787859433 25476 11 4175 0 0
1787859463 25512 11 4175 0 0
1787859493 25624 12 4175 0 0
1787859523 25524 11 4175 0 0
1787859553 25516 11 4175 0 0
1787859583 25408 11 4175 0 0
1787859613 25408 11 4175 0 0
1787859643 25408 11 4175 0 0
1787859673 25476 11 4175 0 0
1787859703 25592 11 4175 0 0
1787859733 25472 11 4175 0 0
1787859763 29768 11 4175 0 0
1787859793 25464 11 4175 0 0
1787859823 25448 11 4175 0 0
1787859853 25472 11 4175 0 0
1787859883 25288 11 4175 0 0
1787859913 25404 11 4175 0 0
1787859943 25416 11 4175 0 0
1787859973 25356 11 4175 0 0
1787860003 25424 11 4175 0 0
1787860033 25516 11 4175 0 0
1787860063 25320 11 4175 0 0
1787860093 25424 11 4175 0 0
1787860124 25400 11 4175 0 0
1787860154 25692 11 4175 0 0
1787860184 27428 11 4175 0 0
1787860214 25480 11 4175 0 0
1787860244 25404 11 4175 0 0
1787860274 25384 11 4175 0 0
1787860304 25384 11 4175 0 0
1787860334 25384 11 4175 0 0
1787860364 25384 11 4175 0 0
1787860394 25496 11 4175 0 0
1787860424 25300 11 4175 0 0
1787860454 25272 11 4175 0 0
1787860484 29752 11 4175 0 0
1787860514 25476 11 4175 0 0
1787860544 25480 11 4175 0 0
1787860574 29808 11 4175 0 0
1787860604 25464 11 4175 0 0
1787860634 25340 11 4175 0 0
1787860664 25348 11 4175 0 0
1787860694 25328 11 4175 0 0
1787860724 25340 11 4175 0 0
1787860754 25512 11 4175 0 0
1787860784 25412 11 4175 0 0
1787860814 29864 11 4175 0 0
1787860844 29844 11 4175 0 0
1787860874 25376 11 4175 0 0
1787860904 25448 11 4175 0 0
1787860934 25344 11 4175 0 0
1787860964 25448 11 4175 0 0
1787860994 25448 11 4175 0 0
1787861024 25448 11 4175 0 0
1787861054 25448 11 4175 0 0
1787861084 25540 11 4175 0 0
1787861114 25592 11 4175 0 0
1787861144 25588 11 4175 0 0
1787861174 25512 11 4175 0 0
1787861204 25444 11 4175 0 0
1787861234 25516 11 4175 0 0
1787861264 25604 11 4175 0 0
1787861294 25472 11 4175 0 0
1787861324 25600 11 4175 0 0
1787861354 25464 11 4175 0 0
1787861384 25540 11 4175 0 0
1787861414 28244 11 4175 0 0
1787861445 25468 11 4175 0 0
1787861475 25400 11 4175 0 0
1787861505 29804 11 4175 0 0
1787861535 25680 11 4175 0 0
1787861565 25408 11 4175 0 0
1787861595 25400 11 4175 0 0
1787861625 25416 11 4175 0 0
1787861655 25384 11 4175 0 0
1787861685 25400 11 4175 0 0
1787861715 25400 11 4175 0 0
1787861745 25400 11 4175 0 0
1787861775 26540 11 4175 0 0
1787861805 25488 11 4175 0 0
1787861835 25476 11 4175 0 0
1787861865 25528 11 4175 0 0
1787861895 25396 11 4175 0 0
1787861925 25408 11 4175 0 0
1787861955 25448 11 4175 0 0
1787861985 25492 11 4175 0 0
1787862015 25684 11 4175 0 0
1787862045 25460 11 4175 0 0
1787862075 28332 11 4175 0 0
1787862105 25396 11 4175 0 0
1787862135 25664 11 4175 0 0
1787862165 25444 11 4175 0 0
1787862195 25468 11 4175 0 0
1787862225 29836 11 4175 0 0
1787862255 25468 11 4175 0 0
1787862285 25412 11 4175 0 0
1787862315 25428 11 4175 0 0
1787862345 25456 11 4175 0 0
1787862375 25424 11 4175 0 0
1787862405 25424 11 4175 0 0
1787862435 25424 11 4175 0 0
1787862465 25512 11 4175 0 0
1787862495 25596 11 4175 0 0
1787862525 25312 11 4175 0 0
1787862555 25320 11 4175 0 0
1787862585 25480 11 4175 0 0
1787862615 25572 11 4175 0 0
