epoch agent_rss_kb agent_fds stage_files stage_kb dest_files
1787859881 13152 6 1 8396 41515
1787859911 13120 6 1 8396 41515
1787859941 17320 7 1 8396 41515
1787859971 13068 6 1 8396 41515
1787860001 13068 6 1 8396 41515
1787860032 13152 6 1 8396 41515
1787860062 13132 6 1 8396 41515
1787860092 14520 6 2 8396 41515
1787860122 13140 6 1 8396 41515
1787860152 13172 6 1 8396 41515
1787860182 17072 7 1 8396 41515
1787860212 13172 6 1 8396 41515
1787860242 13172 6 1 8396 41515
1787860272 13172 6 1 8396 41515
1787860302 13172 6 1 8396 41515
1787860332 13172 6 1 8396 41515
1787860362 13172 6 1 8396 41515
1787860392 13152 6 1 8396 41515
1787860422 14832 6 2 8396 41515
1787860453 13144 6 1 8396 41515
1787860483 13112 6 1 8396 41515
1787860513 13124 6 1 8396 41515
1787860543 13168 6 1 8396 41515
1787860573 13168 6 1 8396 41515
1787860603 13168 6 1 8396 41515
1787860633 13156 6 1 8396 41515
1787860663 13140 6 1 8396 41515
1787860693 13140 6 1 8396 41515
1787860723 13140 6 1 8396 41515
1787860753 13140 6 1 8396 41515
1787860783 13140 6 1 10444 41515
1787860813 13096 6 1 8396 41515
1787860844 13152 6 1 8396 41515
1787860874 13152 6 1 8396 41515
1787860904 13136 6 1 8396 41515
1787860934 13152 6 1 8396 41515
1787860964 13152 6 1 8396 41515
1787860994 13152 6 1 8396 41515
1787861024 13152 6 1 8396 41515
1787861054 13152 6 1 8396 41515
1787861084 13128 6 1 8396 41515
1787861114 13128 6 1 8396 41515
1787861144 13112 6 1 8396 41515
1787861174 13160 6 1 8396 41515
1787861204 13152 6 1 8396 41515
1787861234 13124 6 1 8396 41515
1787861265 13220 6 1 10444 41515
1787861295 13152 6 1 8396 41515
1787861325 13152 6 1 8396 41515
1787861355 13168 6 1 8396 41515
1787861385 13168 6 1 8396 41515
1787861415 13168 6 1 8396 41515
1787861445 13120 6 1 8396 41515
1787861475 13148 6 1 8396 41515
1787861505 13120 6 1 8396 41515
1787861535 13120 6 1 8396 41515
1787861565 13120 6 1 8396 41515
1787861595 13152 6 1 8396 41515
1787861625 13152 6 1 8396 41515
1787861656 13168 6 1 8396 41515
1787861686 13168 6 1 8396 41515
1787861716 13168 6 1 8396 41515
1787861746 13168 6 1 8396 41515
1787861776 13168 6 1 8396 41515
1787861806 13136 6 1 8396 41515
1787861836 13168 6 1 8396 41515
1787861866 13136 6 1 8396 41515
1787861896 13132 6 1 8396 41515
1787861926 13136 6 1 8396 41515
1787861956 13168 6 1 8396 41515
1787861986 13152 6 1 8396 41515
1787862016 13212 6 1 8396 41515
1787862046 13128 6 1 8396 41515
1787862077 13088 6 1 8396 41515
1787862107 17488 6 1 8396 41515
1787862137 13168 6 1 8396 41515
1787862167 13176 6 1 8396 41515
1787862197 13120 6 1 8396 41515
1787862227 13152 6 1 8396 41515
1787862257 13160 6 1 8396 41515
1787862287 13160 6 1 8396 41515
1787862317 13168 6 1 8396 41515
1787862347 13136 6 1 8396 41515
1787862377 13128 6 1 8396 41515
1787862407 13128 6 1 8396 41515
1787862437 13128 6 1 8396 41515
1787862467 13136 6 1 8396 41515
1787862498 13168 6 1 8396 41515
1787862528 13152 6 1 8396 41515
1787862558 13168 6 1 8396 41515
1787862588 13160 6 1 8396 41515
1787862618 13160 6 1 8396 41515
1787862648 17528 7 1 8396 41515
1787862678 13168 6 1 8396 41515
1787862708 13152 6 1 8396 41515
1787862738 13144 6 1 8396 41515
1787862768 13120 6 1 8396 41515
1787862798 13168 6 1 8396 41515
1787862828 13168 6 1 8396 41515
1787862858 13136 6 1 8396 41515
1787862888 13156 6 1 8396 41515
1787862919 13124 6 1 8396 41515
1787862949 13108 6 1 8396 41515
1787862979 13084 6 1 8396 41515
1787863009 13132 6 1 8396 41515
1787863039 17164 7 1 8396 41515
